Total_Pts,Home_Diff,HW,HOME,VISITOR,FG,FGA,FG_PCT,Three_Pointers,Three_Pointers_Att,Three_Pointers_Pct,Two_Pointers,Two_Pointers_Att,Two_Pointers_Pct,FTM,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,PACE,FTr,Three_PAr,OFF_eFG_PCT,OFF_TOV_PCT,ORB_PCT,OFF_FT_FGA,DEF_eFG_PCT,DEF_TOV_PCT,DRB_PCT,DEF_FT_FGA,oFG,oFGA,oFGPCT,o3P,o3PA,o3PCT,o2P,o2PA,o2PCT,oFTM,oFTA,oFTPCT,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,createdAt,updatedAt
undefined,undefined,undefined,Atlanta Hawks,Boston Celtics,-0.900,-0.400,-0.008,-1.600,-1.700,-0.028,0.600,1.300,0,1.500,3.600,-0.059,1.500,-0.900,0.500,-0.500,-0.100,0,5.700,3,-1.900,-12,12,-18,18,-14.040,0.700,-13.340,-7,6.700,5.600,0.041,-0.017,-0.016,4.100,2.800,0.017,0.036,-0.300,-1.100,0.025,4.100,2.800,0.031,1.200,0.300,0.033,2.900,2.500,0.028,2.800,4.400,-0.016,0.400,-0.800,-0.500,5.100,4.200,1.500,0.300,2.800,12.100,0,0
undefined,undefined,undefined,Chicago Bulls,Miami Heat,-0.700,-2.600,0.004,-2.600,-6.800,-0.009,2,4.300,-0.002,-1.100,-3.900,0.084,-4,-1.500,-5.500,-2,0.100,-1.500,0.200,-1.100,-5.200,-11,14,-12,15,-10.590,1.460,-9.120,-6.100,4.600,0.100,-0.039,-0.068,-0.009,0.700,-8,-0.007,0.027,0,-1.200,-0.020,3.100,1.900,0.025,0.700,1.800,0,2.400,0.100,0.042,-1.300,-2.400,0.021,0.200,2.500,2.700,2.500,0.400,0.400,0.200,-2.500,5.300,0,0
undefined,undefined,undefined,Charlotte Hornets,Phoenix Suns,0.900,3.300,-0.006,1.900,3.800,0.018,-1,-0.500,-0.012,2.400,2.800,0.010,0.900,3.200,4,-0.200,-1.900,0,-3.500,-4.500,6.100,10,-12,11,-13,9.210,-2.460,6.740,6.400,-2.700,-0.200,0.022,0.029,0.002,-3.200,1,0.020,-0.011,-1.400,3,-0.063,0.200,3.400,-0.017,1.400,4.900,-0.011,-1.300,-1.500,-0.008,-4.800,-6.900,0.019,-0.700,1.100,0.400,0.200,-2.000,2,-1.900,1.600,-3.100,0,0
undefined,undefined,undefined,Denver Nuggets,Cleveland Cavaliers,3.300,2.800,0.022,1.800,5,0,1.500,-2.100,0.042,-0.100,1.100,-0.046,1.600,2.800,4.500,7.200,1.100,2.000,0.500,-0.700,8.100,21,-22,19,-20,15.410,-0.420,15.010,7,-9,0.800,0.005,0.046,0.030,0.100,3.600,-0.007,-0.036,1,1.100,0.001,-3.300,-0.800,-0.032,-0.800,0.500,-0.029,-2.500,-1.300,-0.032,-0.100,0.600,-0.024,0.200,-1.600,-1.400,-0.700,0.600,-0.300,1.100,1.400,-7.300,0,0
undefined,undefined,undefined,Detroit Pistons,Sacramento Kings,-4.500,-3.100,-0.034,-0.500,3.700,-0.057,-4.100,-6.800,-0.010,2.300,2.100,0.031,1.100,-0.100,1,-3.700,-1.200,-0.700,0.600,1,-7.300,-4,2,-3,1,-1.490,-0.760,-2.260,-3.400,-1.800,-4.700,0.032,0.052,-0.034,0.700,2.600,0.030,-0.007,-1,4.700,0.021,-2,-5,0.004,-2.600,-6.100,-0.020,0.700,1.100,0.002,0.800,0.600,0.013,-2.700,-1.500,-4.200,-1,-0.400,0.100,-2.100,0.900,-5.800,0,0
undefined,undefined,undefined,Houston Rockets,Los Angeles Lakers,-4.100,-4.700,-0.022,4.900,13,0.014,-9.100,-17.600,0.010,3.400,1.600,0.091,0.600,-6.000,-5.400,-3.300,-0.300,-0.400,-1.900,2.100,0.100,0,-2,0,-2,0.910,0.830,1.750,6.900,6,-6.500,0.033,0.169,0.010,-1,2.200,0.049,0.030,0.700,-1.200,0.034,-0.500,-7.400,0.032,-1.300,-3.200,-0.005,0.800,-4.300,0.049,1.600,2.500,-0.015,-1.200,-2.400,-3.600,-0.300,-0.300,-0.600,0,-0.600,-0.800,0,0
undefined,undefined,undefined,Indiana Pacers,Dallas Mavericks,3.200,1.200,0.031,-2.800,-9.600,0.024,5.900,10.700,0.006,-4.800,-6.300,-0.003,-1.100,-1.300,-2.400,3.200,1.700,0.500,-1.300,-0.700,-1.100,9,-9,7,-7,5,-2.070,2.920,0.700,-4.300,-1.500,-0.077,-0.115,0.014,-0.800,-1.800,-0.058,-0.006,2.100,0,-0.003,-3,-4,-0.014,0.900,1.100,0.018,-4,-5.100,-0.025,-1.000,-1.400,0.003,-0.400,-0.500,-0.900,-0.700,-1.300,0.600,2,-4.100,-6.100,0,0
undefined,undefined,undefined,Orlando Magic,Milwaukee Bucks,-4.500,-2.900,-0.035,-2.400,-6.800,0,-2,3.900,-0.077,-2.700,-3.700,0.009,-0.300,-5.700,-6,-2.400,-1,-0.700,-0.800,-1,-14,-13,13,-18,18,-13.890,0.750,-13.140,-8.200,5.500,-5.500,-0.034,-0.064,-0.046,-0.200,-1.200,-0.024,0.019,-0.400,-2.700,0.021,0.500,-4.500,0.029,-2.300,-6.500,0.002,2.800,2,0.032,1.100,0.600,0.030,0.100,1.600,1.800,-0.900,-0.100,-0.100,-1,-1.300,-0.100,0,0
undefined,undefined,undefined,Philadelphia 76ers,Oklahoma City Thunder,-1.100,-6,0.018,1.300,1.200,0.029,-2.500,-7.300,0.022,3,2,0.058,-2.100,1.600,-0.600,4.700,-2.900,0.100,1.300,0.200,2.100,4,-2,0,2,-1.180,-0.240,-1.420,2.900,4,-1.300,0.042,0.036,0.029,1.400,-2.400,0.048,-0.010,-3.700,1.200,0.016,0.800,3,-0.006,-0.300,-0.800,-0.003,1.100,3.800,-0.013,2.100,2,0.018,-0.300,-2,-2.200,-2.400,-0.400,-1.100,-4.200,0.100,3.200,0,0
undefined,undefined,undefined,Toronto Raptors,Memphis Grizzlies,5.100,7.200,0.020,1.900,5.800,-0.003,3.200,1.400,0.043,0.800,-0.400,0.048,2.400,2.700,5.100,0.900,-0.200,-0.600,0,-1.400,12.900,15,-12,12,-9,7.310,-1.560,5.760,8,0.600,4.400,-0.026,0.039,0.026,-0.800,5.100,-0.007,-0.006,-1.500,-2.300,-0.051,4.600,8.900,0.005,-1,-1.200,-0.019,5.600,10.100,0.008,-2.500,-2.700,-0.016,2.200,-1.500,0.600,1.800,0,0.200,-0.600,-1,5.600,0,0
